Released Year,Ratings
1939,8.1
1941,8.3
1942,8.5
1953,8
1954,8.1
1957,9
1957,8.1
1965,8
1971,8.3
1972,9.2
1973,8.3
1973,7.7
1973,8
1974,9
1974,8.2
1975,8.7
1975,8
1975,8
1976,8.2
1976,7.7
1980,8.4
1980,8.2
1983,8.3
1984,8.3
1990,8.7
1990,8
1990,7.6
1991,8.6
1991,8
1993,8.9
1993,7.9
1994,9.3
1994,8.9
1994,8.8
1994,8.5
1995,8.6
1995,8.2
1995,8.3
1997,7.8
1997,8.3
1998,8.6
1998,8.5
1998,8.1
1999,8.8
1999,8.3
1999,8.6
1999,7.4
1999,8.1
2000,8.5
2000,8.3
2000,7.5
2000,8.1
2000,8.1
2001,8.8
2001,7.9
2001,8.2
2002,8.7
2002,8.5
2002,8.1
2002,8.6
2002,7.5
2003,8.9
2003,8.4
2003,7.9
2003,7.6
2004,8.3
2004,8.2
2004,7.7
2004,8.1
2004,7.6
2005,7.7
2006,8.5
2006,8.5
2006,7.8
2006,7.8
2006,7.4
2007,8.1
2007,8.2
2008,9
2008,8.1
2008,7.8
2008,8
2009,8.3
2010,8
2011,8.3
2013,8.2
2013,8.1
2013,8.1
2014,8.6
2014,8.1
2014,8.1
2014,7.7
2015,8
2015,7.8
2015,8.1
2016,8
2017,7.3
2017,8.1
2018,8.2
2019,7.6
